Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,French Polynesia,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Gambia,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Gaza Strip and West Bank,0,11,0,0,0,0,0,0,0,0,0,0,7,12,24,24,24,28,12,6,0,11,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,4,0,0
,,Georgia,12,23,12,0,0,0,21,12,12,12,0,0,0,18,24,24,12,10,12,6,0,11,0,0,0,0,21,0,0,0,0,0,0,18,0,0,0,10,0,0
,,Germany,328,457,511,503,557,533,591,587,625,578,519,386,408,336,285,222,363,453,471,153,100,169,103,119,209,137,159,131,157,158,75,14,96,84,69,78,123,117,111,15
,,Ghana,36,47,36,12,16,41,75,78,67,122,100,111,136,197,163,133,96,53,74,47,0,11,0,0,16,17,39,18,7,50,28,15,52,77,55,37,0,17,38,5
,,Greece,2,23,24,12,12,23,6,12,0,11,34,18,35,12,0,0,0,3,12,5,2,11,0,0,0,11,6,0,0,11,22,18,11,0,0,0,0,3,0,5
,,Grenada,0,0,0,0,0,0,0,0,0,11,17,12,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,11,0,0,0,0,0,0
,,Guatemala,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Guinea-Bissau,0,0,0,0,5,23,12,12,12,5,17,12,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,5,5,0,0,0,0,0,0,0,0,0
,,Honduras,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
,,Hong Kong,1923,2827,2995,3040,2558,2294,1628,1634,1786,1684,1779,1678,1716,1821,2181,2501,2711,2606,2358,991,951,1171,739,916,554,614,452,470,526,556,459,454,636,669,801,893,911,770,606,193
,,Hungary,8,12,23,35,24,12,15,15,46,12,12,1,12,21,12,22,24,24,24,10,8,0,11,11,0,0,3,3,22,0,0,1,0,9,0,10,0,0,0,4
,,Iceland,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
,,India,1794,3242,3706,3565,2929,3143,3521,4114,4226,3396,2928,3010,4074,6294,6780,7246,8630,9941,10875,4729,870,1682,1414,745,925,1415,1337,1534,1022,924,960,1066,1758,2526,1944,2278,2774,3125,2991,931
,,Indonesia,724,867,920,904,989,1031,1223,1763,2255,2342,2458,2440,2160,2059,2545,3222,3429,3031,2760,1171,196,279,236,280,317,419,551,683,827,662,718,688,648,631,985,1098,945,595,684,205
,,Iran,145,227,268,285,247,214,252,348,526,613,668,839,892,786,840,780,731,819,822,345,49,35,64,33,19,94,72,156,202,205,212,215,184,210,192,108,143,159,150,57
,,Iraq,22,12,12,0,0,10,23,30,36,38,24,30,23,10,29,30,24,35,24,11,22,0,0,0,0,10,11,6,12,2,0,6,11,10,17,6,0,11,0,5
,,Ireland,12,28,46,69,59,24,46,36,27,24,34,24,44,63,60,57,52,24,23,16,0,16,22,21,23,0,22,0,27,0,22,0,20,15,0,21,4,0,11,4
,,Israel,16,52,69,86,54,36,40,57,36,47,47,36,5,24,24,12,11,12,12,11,16,28,21,14,6,0,16,21,0,11,11,0,5,12,0,0,11,0,0,5
,,Italy,96,104,93,84,109,154,142,171,200,202,236,244,277,261,274,248,164,186,256,101,48,32,21,12,37,70,34,63,80,70,68,52,85,57,34,20,32,78,88,11
,,Jamaica,11,12,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Japan,1411,1622,1605,1594,1428,1393,1468,1387,1097,895,692,663,673,581,555,508,518,550,503,217,499,566,501,442,444,493,424,427,281,355,188,243,241,221,111,172,182,190,143,25
,,Jordan,90,59,50,53,41,41,52,60,69,92,79,72,71,94,95,101,87,86,71,29,18,11,38,17,17,17,28,12,45,32,7,24,35,22,59,5,27,26,11,5
,,Kazakhstan,32,36,24,12,17,52,58,24,125,94,58,70,35,30,30,44,111,107,111,41,8,0,0,0,17,28,22,12,89,22,34,22,11,6,18,20,51,11,39,5
,,Kenya,440,396,340,280,250,239,256,260,258,208,173,243,418,283,284,246,234,263,246,116,92,132,100,76,82,59,100,68,66,40,53,135,142,79,116,54,66,71,42,26
,,Kiribati,12,0,5,12,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Korea, Democratic People's Republic of (North)",48,24,0,0,0,11,41,36,36,24,0,23,30,0,0,0,0,0,0,0,0,0,0,0,0,11,29,0,0,0,0,23,6,0,0,0,0,0,0,0
,,"Korea, Republic of (South)",816,948,1201,1418,1554,1924,2214,2841,2994,3344,4256,4587,4116,3739,2992,2282,2034,2205,2161,988,324,300,421,482,570,760,786,1005,834,1388,1832,1647,1392,1003,808,698,618,669,529,268
,,Kuwait,24,0,0,0,0,0,7,6,28,139,207,168,196,161,148,141,101,36,24,12,0,0,0,0,0,0,7,6,16,115,75,48,52,53,52,45,5,0,0,0
,,Kyrgyzstan,11,18,30,24,12,0,11,11,0,9,18,24,24,12,12,0,0,0,0,0,11,6,6,0,0,0,11,11,0,9,6,0,0,0,0,0,0,0,0,0
,,Laos,112,107,84,53,35,57,63,35,12,46,42,42,49,48,67,82,116,129,113,63,52,11,24,17,11,45,39,11,0,34,6,18,13,0,43,34,20,33,41,15
,,Latvia,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,22,24,23,24,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,22,0,11,0,0
,,Lebanon,12,6,12,0,0,0,10,29,24,0,0,11,0,5,11,33,47,40,36,6,0,6,0,0,0,0,10,17,0,0,0,11,0,5,11,33,11,16,0,0
,,Lesotho,12,24,12,0,0,0,0,24,11,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,24,11,11,0,0,0,0,0,0,0,0,0,0
,,Liberia,0,0,0,0,0,0,0,0,0,12,12,0,12,11,11,22,24,24,24,0,0,0,0,0,0,0,0,0,0,12,0,0,12,11,11,10,0,0,0,0
,,Libya,12,12,12,6,0,0,0,0,27,41,24,0,11,11,12,0,11,0,0,0,0,0,0,6,0,0,0,0,27,5,0,0,11,11,0,0,11,0,0,0
,,Lithuania,12,12,12,0,0,0,0,0,50,35,24,24,12,12,0,0,0,6,12,0,0,0,0,0,0,0,0,0,50,11,0,0,0,0,0,0,0,6,0,0
,,Macau,20,24,12,12,26,36,52,59,71,66,64,95,91,76,103,104,157,152,129,64,20,0,0,0,26,24,16,11,23,18,16,35,7,28,55,44,61,56,33,10
,,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,,Malawi,0,0,0,0,15,12,0,12,41,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,17,17,0,0,0,0,0,0,0,0,0,0
,,Malaysia,2460,3309,3290,3036,3298,3938,4589,5453,5979,6198,5640,4832,4300,3675,3299,3301,3383,3522,2945,1177,1332,1149,878,1068,1462,1454,1409,1949,1827,1830,1164,1172,1228,843,1007,1045,959,978,617,217
,,Maldives,69,122,174,134,82,94,105,54,88,92,87,90,102,118,106,36,47,36,24,12,45,62,66,26,22,34,33,6,28,44,39,6,6,34,22,0,23,0,0,0
,,Malta,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
,,Mauritius,117,180,184,156,115,123,173,178,189,155,24,22,65,60,75,92,116,77,59,28,21,84,28,36,19,51,41,22,33,11,0,22,5,0,51,44,20,5,11,10
,,Mexico,209,187,202,174,158,122,152,235,316,331,229,167,264,277,318,242,243,196,128,65,65,55,82,30,50,38,44,115,64,103,97,35,132,73,78,50,51,28,32,5
,,"Micronesia, Federated States of",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Mongolia,102,72,94,90,136,84,72,46,135,165,178,108,131,223,393,485,423,334,212,60,18,24,34,18,100,36,0,34,87,105,46,12,71,103,201,149,87,46,32,0
,,Morocco,0,0,0,11,12,12,12,13,24,3,12,12,27,34,12,23,23,23,12,0,0,0,0,11,0,0,0,13,0,3,0,0,15,10,0,23,11,11,0,0
,,Mozambique,36,41,12,12,0,0,0,0,0,0,0,11,12,23,24,12,0,0,5,6,0,17,12,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,5,0
,,Myanmar,138,211,248,201,174,244,197,183,231,208,224,190,186,143,170,238,201,252,194,82,54,103,116,81,66,100,65,39,75,88,92,46,66,23,74,82,45,84,38,10
,,Namibia,10,12,18,12,12,12,12,0,0,5,12,12,6,12,12,12,12,0,0,0,10,0,6,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0
,,Nauru,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nepal,69,99,113,110,59,56,157,212,268,336,396,390,670,974,874,888,1001,1657,4307,2830,21,39,53,38,11,44,109,56,88,180,120,162,334,374,178,264,389,853,2555,976
,,Netherlands,87,108,125,130,146,148,87,66,70,64,52,87,100,93,84,71,52,36,33,12,27,36,41,34,50,76,15,6,10,16,4,27,28,21,12,11,4,0,9,0
,,New Caledonia,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nigeria,58,66,46,19,44,103,90,79,153,205,240,428,738,912,922,716,483,437,417,192,10,6,10,7,20,55,6,31,93,73,96,200,330,336,94,176,111,149,93,42
,,North Macedonia,0,10,19,24,12,12,17,29,51,36,0,0,0,11,12,28,24,24,34,6,0,10,7,0,0,0,17,17,27,12,0,0,0,11,0,16,0,0,22,0
,,Norway,172,200,182,243,270,203,181,153,241,216,158,133,75,62,93,87,96,60,80,24,64,32,62,159,138,107,73,33,121,96,38,61,15,26,33,27,12,0,32,0
,,Oman,11,12,34,36,46,46,60,64,92,36,12,29,36,40,80,133,111,221,218,84,11,0,22,0,22,22,12,28,20,0,0,17,0,28,56,61,27,137,26,0
,,Pakistan,1279,1339,1246,1112,1126,1423,1599,1899,2180,2369,2176,2248,2772,2891,2363,1914,1866,1579,1407,563,535,403,430,248,622,487,723,663,764,701,676,808,1032,755,515,438,534,307,303,83
,,Papua New Guinea,120,147,114,88,47,36,73,168,214,188,214,199,163,180,233,218,232,167,164,59,48,39,42,28,11,0,49,96,70,32,34,43,55,36,113,86,40,47,44,5
,,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5
,,Peru,12,12,12,18,18,24,52,53,86,64,86,87,78,103,96,63,93,101,85,41,0,0,0,6,6,0,28,17,26,28,50,27,18,43,0,27,45,29,13,5
,,Philippines,219,316,321,310,252,189,225,286,430,534,622,583,1051,2061,2247,1904,1410,903,1207,389,99,136,105,70,60,45,105,154,238,210,298,247,703,1053,735,572,222,339,427,53
,,Poland,22,35,96,113,75,70,12,35,57,36,58,85,36,18,50,67,70,60,60,34,22,11,48,29,15,10,0,23,33,0,22,25,0,6,38,19,10,0,0,10
,,Portugal,46,57,50,63,105,112,125,88,107,125,148,100,105,24,36,36,54,46,48,11,10,21,14,27,33,28,29,28,35,17,28,16,33,0,12,12,18,22,0,5
,,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,36,24,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,24,0,11,0
,,Romania,51,60,80,36,36,12,23,23,30,16,24,12,0,0,0,0,0,11,17,0,27,0,20,0,0,0,11,11,6,4,0,0,0,0,0,0,0,11,5,0
,,Russian Federation,161,176,168,163,167,274,268,252,253,225,216,233,279,269,220,286,314,285,221,88,41,20,48,43,95,106,100,48,49,69,84,89,75,77,52,94,50,81,29,10
,,Rwanda,0,0,0,0,0,0,6,12,37,72,24,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,6,0,37,12,0,0,0,0,0,0,0,0,11,0
,,Samoa ,0,10,12,11,0,0,0,11,6,12,12,12,22,12,12,12,12,0,0,5,0,10,0,11,0,0,0,11,6,0,0,0,10,0,0,0,0,0,0,5
,,Saudi Arabia,12,6,35,65,127,150,234,727,1729,2544,2461,1517,928,991,920,929,927,1364,1340,605,0,6,23,17,43,66,90,523,829,1020,709,401,256,307,380,257,303,536,296,65
,,Serbia,0,0,0,0,7,23,23,24,23,12,0,0,0,11,28,23,12,5,12,11,0,0,0,0,7,11,11,0,11,0,0,0,0,11,16,11,0,5,0,5
,,Sierra Leone,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Singapore,3224,3717,3095,2745,2653,2821,3443,3753,3848,3798,3404,2925,2260,1854,1881,2077,2158,2185,1734,672,1244,1173,635,873,997,913,1343,1293,1100,1170,884,681,568,594,597,697,562,589,354,150
,,Slovakia,38,24,16,17,35,53,69,0,16,41,24,12,12,0,28,36,0,0,0,0,26,0,16,17,11,17,9,0,16,17,0,0,0,0,28,0,0,0,0,0
,,Slovenia,0,0,0,0,0,0,10,12,12,12,12,12,12,0,0,0,0,11,12,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0
,,Solomon Islands,0,6,12,11,12,11,23,12,35,12,24,35,24,24,35,34,47,53,24,7,0,6,0,11,0,11,11,12,11,0,12,11,0,0,11,22,11,17,0,1
,,South Africa,38,67,103,53,94,100,169,228,183,101,72,50,93,132,130,108,110,82,60,18,26,19,31,17,34,28,85,84,51,17,0,50,45,36,22,12,38,22,0,0
,,Spain,15,33,24,12,23,12,20,12,33,44,81,93,107,140,131,72,34,50,48,23,3,21,0,0,11,0,20,0,21,20,33,21,23,44,11,0,10,50,0,5
,,Sri Lanka,285,316,394,444,491,671,772,835,842,1010,1088,1196,1275,1142,1233,1350,1548,1687,1376,523,81,112,154,156,179,275,256,307,254,386,308,356,303,278,429,450,396,439,164,49
,,Sudan,12,12,0,0,11,12,23,12,12,5,28,36,17,12,23,0,0,5,12,8,0,0,0,0,11,0,11,0,0,5,16,0,5,0,11,0,0,5,0,2
,,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
,,Sweden,70,71,91,64,101,99,78,69,95,72,47,47,36,55,60,48,36,24,12,5,10,23,43,16,41,27,30,33,23,12,11,11,0,43,0,0,0,0,0,5
,,Switzerland,98,84,96,95,48,57,59,68,82,69,59,52,57,70,55,36,35,24,17,6,62,0,48,11,0,21,11,44,22,21,23,16,21,10,7,0,11,0,5,0
,,Syria,0,6,12,12,12,0,11,29,41,27,22,12,12,0,0,0,0,0,0,0,0,6,0,0,0,0,11,17,5,3,10,0,0,0,0,0,0,0,0,0
,,Taiwan,902,1017,1030,854,752,787,917,702,783,912,784,793,821,684,741,740,917,1032,1082,480,374,345,394,254,320,319,293,210,447,276,256,265,257,192,189,200,281,300,254,96
,,Tajikistan,17,24,24,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Tanzania,47,22,0,0,11,23,24,14,34,23,24,11,11,0,11,12,12,0,0,0,11,10,0,0,11,11,0,14,22,11,0,11,11,0,11,0,0,0,0,0
,,Thailand,1922,2198,2313,2300,1940,1667,1486,1371,1220,1327,1382,1072,1259,1130,964,760,787,688,721,233,602,770,729,740,548,467,466,423,320,595,374,328,467,242,172,220,187,208,157,41
,,Tonga,12,18,12,0,0,0,0,0,27,35,18,30,35,24,12,34,35,23,24,6,0,6,0,0,0,0,0,0,27,11,6,6,11,0,0,22,11,11,12,0
,,Trinidad and Tobago,15,12,0,11,12,6,12,12,0,11,0,10,12,23,24,0,0,0,0,0,3,0,0,11,0,6,0,0,0,11,0,10,0,11,0,0,0,0,0,0
,,Turkey,0,33,48,60,49,65,136,208,228,213,258,177,122,118,83,99,95,68,48,24,0,33,24,0,13,17,100,52,60,33,54,57,26,22,23,39,11,8,0,0
,,Turkmenistan,35,12,12,23,23,0,0,0,11,12,12,0,0,0,0,0,0,0,0,0,11,0,0,11,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
,,Tuvalu,12,12,12,29,36,0,0,0,0,5,12,0,0,0,22,24,0,0,0,0,0,0,0,17,12,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0
,,Uganda,41,24,12,11,23,12,0,27,47,41,30,44,53,39,54,48,30,41,35,17,17,0,0,11,11,0,0,27,11,5,6,8,5,15,6,0,6,5,11,5
,,Ukraine,24,24,30,12,23,30,12,12,10,16,24,28,46,64,70,72,60,53,26,18,0,0,6,0,11,6,0,0,10,4,0,16,22,16,22,24,0,5,14,0
,,United Arab Emirates,44,44,36,50,24,11,40,89,184,238,224,185,155,74,81,105,59,59,12,6,20,8,0,14,0,11,28,41,124,58,68,41,35,26,33,57,11,11,0,0
,,United Kingdom,453,486,466,405,386,438,465,529,620,614,599,579,458,465,458,455,474,343,411,162,141,126,82,117,122,150,213,157,200,242,131,159,146,105,74,155,102,67,135,24
,,United Kingdom (Other),71,52,48,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,United States of America,1001,954,1019,1068,1011,1035,1169,1095,995,1040,987,885,979,1103,1048,959,711,633,660,276,377,330,407,252,447,459,425,411,359,356,315,333,307,287,316,323,183,153,192,54
,,Uruguay,0,0,0,0,11,12,0,0,10,12,12,12,12,0,6,12,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
,,Uzbekistan,22,18,12,12,6,18,23,18,12,18,24,25,42,54,60,34,35,52,48,24,10,6,0,0,6,6,11,18,0,6,0,13,6,18,0,10,11,16,0,0
,,Vanuatu,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,11,12,6,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,0
,,Venezuela,0,6,12,12,0,0,0,12,46,60,71,65,40,47,57,47,29,35,24,6,0,6,0,0,0,0,0,12,22,12,35,5,16,11,21,11,5,11,0,0
,,Vietnam,705,825,922,1181,1293,1276,1568,2530,3362,3679,3316,3089,3027,2888,2612,2424,2312,2274,2694,1294,321,285,358,449,429,496,692,1186,1190,1399,964,1049,963,860,764,684,656,594,822,286
,,Yemen,0,0,0,0,0,0,6,12,23,24,0,11,0,0,0,11,29,36,36,8,0,0,0,0,0,0,6,0,11,0,0,11,0,0,0,11,17,0,0,2
,,Yugoslavia,38,34,37,48,12,18,12,12,0,3,0,0,0,0,0,0,0,0,0,0,14,10,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0
,,Zambia,24,12,18,48,41,24,24,22,34,23,23,29,24,12,0,0,0,13,24,6,0,0,6,24,17,0,0,22,22,11,23,5,0,0,0,0,0,13,0,0
,,Zimbabwe,78,120,90,86,81,81,60,29,46,92,144,124,151,187,199,208,146,144,143,52,42,12,6,38,21,33,0,17,10,56,72,16,43,55,55,76,14,48,11,10
,ACT Total,,30524,39028,42914,44423,45237,46456,50811,61530,75883,84126,84572,80992,85539,91160,101519,117517,135958,142038,131266,54809,12692,14788,13706,14063,15837,15952,18987,23946,27907,30606,27800,27364,32559,30068,34847,42589,47230,42426,31762,11357
,NAT,China,0,0,0,0,0,0,0,0,0,12,128,202,192,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,104,34,0,2,0,0,0,0,0,0
,,East Timor,0,0,0,0,0,0,0,0,0,6,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,,France,0,0,0,0,0,0,0,0,0,11,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Germany,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
,,Hong Kong,0,0,0,0,0,0,0,0,0,11,53,84,84,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,0,0,0,0,0,0,0,0,0
,,India,0,0,0,0,0,0,0,0,0,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,,Indonesia,0,0,0,0,0,0,0,0,0,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,,Italy,0,0,0,0,0,0,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Kenya,0,0,0,0,0,0,0,0,0,0,23,36,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
,,"Korea, Republic of (South)",0,0,0,0,0,0,0,0,0,0,6,12,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0
,,Kuwait,0,0,0,0,0,0,0,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,Malaysia,0,0,0,0,0,0,0,0,0,34,76,84,84,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,0
,,Mauritius,0,0,0,0,0,0,0,0,22,35,36,47,48,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,11,0,0,0,0,0,0,0,0
,,Nepal,0,0,0,0,0,0,0,0,0,0,6,54,96,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0
,,Pakistan,0,0,0,0,0,0,0,0,0,0,0,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
,,Philippines,0,0,0,0,0,0,0,0,0,0,11,18,24,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0
,,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,17,24,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0
,,Singapore,0,0,0,0,0,0,0,0,0,0,17,24,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
,,South Africa,0,0,0,0,0,0,0,0,0,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,,Tanzania,0,0,0,0,0,0,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
,,Thailand,0,0,0,0,0,0,0,0,8,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
,,Vietnam,0,0,0,0,0,0,0,0,0,0,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,NAT Total,,0,0,0,0,0,0,0,0,30,161,491,716,784,350,84,12,0,0,0,0,0,0,0,0,0,0,0,0,30,125,275,104,28,2,0,0,0,0,0,0
Higher Education Total,,,1273430,1511428,1707990,1888896,1972315,2030586,2100312,2332313,2542333,2579743,2456025,2407158,2567874,2799199,3172414,3632643,4142465,4604408,4525751,1817761,522650,562192,610482,633288,645631,684150,745320,841937,854185,834331,761445,786966,888570,940675,1080454,1227879,1351493,1442252,1140443,283639
Grand Total,,,1273430,1511428,1707990,1888896,1972315,2030586,2100312,2332313,2542333,2579743,2456025,2407158,2567874,2799199,3172414,3632643,4142465,4604408,4525751,1817761,522650,562192,610482,633288,645631,684150,745320,841937,854185,834331,761445,786966,888570,940675,1080454,1227879,1351493,1442252,1140443,283639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
